GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fixed Asset Management System,com.fixedasset.system,FixedAssetSystemApplication,5,3,0,0,2,1,1,1,1,1
Fixed Asset Management System,com.fixedasset.system.dto,AuthResponse,26,0,0,0,12,0,6,0,6,0
Fixed Asset Management System,com.fixedasset.system.dto,LoginRequest,17,0,0,0,7,0,5,0,5,0
Fixed Asset Management System,com.fixedasset.system.controller,MaintenanceRecordController,121,3,0,0,30,1,11,1,11,1
Fixed Asset Management System,com.fixedasset.system.controller,UserController,63,3,0,0,17,1,7,1,7,1
Fixed Asset Management System,com.fixedasset.system.controller,AssetController,182,3,4,0,38,1,15,1,13,1
Fixed Asset Management System,com.fixedasset.system.controller,AuthController,51,3,0,0,13,1,2,1,2,1
Fixed Asset Management System,com.fixedasset.system.exception,GlobalExceptionHandler,90,3,0,0,27,1,6,1,6,1
Fixed Asset Management System,com.fixedasset.system.exception,DuplicateResourceException,4,0,0,0,2,0,1,0,1,0
Fixed Asset Management System,com.fixedasset.system.exception,AssetValidationException,4,0,0,0,2,0,1,0,1,0
Fixed Asset Management System,com.fixedasset.system.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
Fixed Asset Management System,com.fixedasset.system.config,SecurityConfig,0,205,0,0,0,27,0,11,0,11
Fixed Asset Management System,com.fixedasset.system.config,JwtAuthenticationFilter,63,9,10,0,15,4,6,1,1,1
Fixed Asset Management System,com.fixedasset.system.entity,User,30,0,0,0,10,0,7,0,7,0
Fixed Asset Management System,com.fixedasset.system.entity,MaintenanceRecord,10,0,2,0,4,0,2,0,1,0
Fixed Asset Management System,com.fixedasset.system.entity,AssetStatus,3,56,0,0,1,8,1,2,1,2
Fixed Asset Management System,com.fixedasset.system.entity,UserRole,3,34,0,0,1,6,1,2,1,2
Fixed Asset Management System,com.fixedasset.system.entity,AssetType,3,100,0,0,1,12,1,2,1,2
Fixed Asset Management System,com.fixedasset.system.entity,Asset,11,0,0,0,5,0,2,0,2,0
Fixed Asset Management System,com.fixedasset.system.entity,MaintenanceType,3,45,0,0,1,7,1,2,1,2
Fixed Asset Management System,com.fixedasset.system.util,JwtUtil,104,3,4,0,23,1,11,1,9,1
Fixed Asset Management System,com.fixedasset.system.service,UserService,236,3,14,0,51,1,19,1,12,1
Fixed Asset Management System,com.fixedasset.system.service,AssetService,295,3,8,0,67,1,22,1,18,1
Fixed Asset Management System,com.fixedasset.system.service,MaintenanceRecordService,254,3,4,0,55,1,19,1,17,1
